Asset,Type,ProgressionRequired,Families,UsedByCount,UsedBy,RelatedWeapons,Reason
vn_sks_t_mag,Magazine,YES,sks,4,vn_sks;vn_sks_bayo;vn_sks_gl;vn_sks_sniper,,additional compatible magazine
vn_sten,Weapon,YES,sten,0,,,weapon
vn_sten_mag,Base Magazine,NO,sten,2,vn_sten;vn_sten_sd,,included base magazine
vn_sten_sd,Derived Weapon,NO,sten,0,,vn_sten,canonical alias of vn_sten
vn_sten_t_mag,Magazine,YES,sten,2,vn_sten;vn_sten_sd,,additional compatible magazine
vn_svd,Weapon,YES,svd,0,,,weapon
vn_svd_mag,Base Magazine,NO,svd,3,vn_svd;vn_svd_sniper;vn_svd_sniper_camo,,included base magazine
vn_svd_sniper,Derived Weapon,NO,svd,0,,vn_svd,canonical alias of vn_svd
vn_svd_sniper_camo,Derived Weapon,NO,svd,0,,vn_svd,canonical alias of vn_svd
vn_svd_t_mag,Magazine,YES,svd,3,vn_svd;vn_svd_sniper;vn_svd_sniper_camo,,additional compatible magazine
vn_tt33,Weapon,YES,tt33,0,,,weapon
vn_tt33_mag,Base Magazine,NO,tt33,1,vn_tt33,,included base magazine
vn_type56,Weapon,YES,type56,0,,,weapon
vn_type56_bayo,Derived Weapon,NO,type56,0,,vn_type56,canonical alias of vn_type56
vn_type56_mag,Magazine,YES,ak;kbkg;type56,5,vn_ak_01;vn_kbkg;vn_kbkg_gl;vn_type56;vn_type56_bayo,,additional compatible magazine
vn_type56_t_mag,Magazine,YES,ak;kbkg;type56,5,vn_ak_01;vn_kbkg;vn_kbkg_gl;vn_type56;vn_type56_bayo,,additional compatible magazine
vn_type64,Weapon,YES,type64,0,,,weapon
vn_type64_f_smg,Weapon,YES,type64_f_smg,0,,,weapon
vn_type64_mag,Base Magazine,NO,type64,1,vn_type64,,included base magazine
vn_type64_smg,Weapon,YES,type64_smg,0,,,weapon
vn_type64_smg_mag,Base Magazine,NO,type64_f_smg;type64_smg,2,vn_type64_f_smg;vn_type64_smg,,included base magazine
vn_type64_smg_t_mag,Magazine,YES,type64_f_smg;type64_smg,2,vn_type64_f_smg;vn_type64_smg,,additional compatible magazine
vn_vz54,Weapon,YES,vz54,0,,,weapon
vn_vz54_sniper,Derived Weapon,NO,vz54,0,,vn_vz54,canonical alias of vn_vz54
vn_vz54_sniper_camo,Derived Weapon,NO,vz54,0,,vn_vz54_sniper,canonical alias of vn_vz54_sniper
vn_vz61,Weapon,YES,vz61,0,,,weapon
vn_vz61_mag,Base Magazine,NO,vz61,2,vn_vz61;vn_vz61_p,,included base magazine
vn_vz61_p,Weapon,YES,vz61,0,,,weapon
vn_vz61_t_mag,Magazine,YES,vz61,2,vn_vz61;vn_vz61_p,,additional compatible magazine
vn_welrod,Weapon,YES,welrod,0,,,weapon
vn_welrod_mag,Base Magazine,NO,welrod,1,vn_welrod,,included base magazine
vn_xm16e1,Weapon,YES,xm16e1,0,,,weapon
vn_xm16e1_bayo,Derived Weapon,NO,xm16e1,0,,vn_xm16e1,canonical alias of vn_xm16e1
vn_xm16e1_mrk,Derived Weapon,NO,xm16e1,0,,vn_xm16e1,canonical alias of vn_xm16e1
vn_xm16e1_nvg,Derived Weapon,NO,xm16e1,0,,vn_xm16e1,canonical alias of vn_xm16e1
vn_xm16e1_sniper,Derived Weapon,NO,xm16e1,0,,vn_xm16e1,canonical alias of vn_xm16e1
vn_xm16e1_xm148,Weapon,YES,xm16e1,0,,,weapon
vn_xm177,Weapon,YES,xm177,0,,,weapon
vn_xm177_camo,Weapon,YES,xm177,0,,,weapon
vn_xm177_fg,Weapon,YES,xm177_fg,0,,,weapon
vn_xm177_m203,Weapon,YES,xm177,0,,,weapon
vn_xm177_m203_camo,Weapon,YES,xm177,0,,,weapon
vn_xm177_mrk,Derived Weapon,NO,xm177,0,,vn_xm177,canonical alias of vn_xm177
vn_xm177_muzzle,Weapon,YES,xm177_muzzle,0,,,weapon
vn_xm177_nvg,Derived Weapon,NO,xm177,0,,vn_xm177,canonical alias of vn_xm177
vn_xm177_short,Weapon,YES,xm177,0,,,weapon
vn_xm177_sniper,Derived Weapon,NO,xm177,0,,vn_xm177,canonical alias of vn_xm177
vn_xm177_stock,Weapon,YES,xm177,0,,,weapon
vn_xm177_stock_camo,Weapon,YES,xm177,0,,,weapon
vn_xm177_xm148,Weapon,YES,xm177,0,,,weapon
vn_xm177_xm148_camo,Weapon,YES,xm177,0,,,weapon
vn_xm177e1,Weapon,YES,xm177e1,0,,,weapon
vn_xm177e1_camo,Weapon,YES,xm177e1,0,,,weapon
vn_xm177e1_mrk,Derived Weapon,NO,xm177e1,0,,vn_xm177e1,canonical alias of vn_xm177e1
vn_xm177e1_nvg,Derived Weapon,NO,xm177e1,0,,vn_xm177e1,canonical alias of vn_xm177e1
vn_xm177e1_sniper,Derived Weapon,NO,xm177e1,0,,vn_xm177e1,canonical alias of vn_xm177e1
